FlightID,FlightNumber,DepartureAirportID,ArrivalAirportID,DepartureTime,ArrivalTime,AircraftID
49,FN0048,67,91,2024-02-27 18:48:57,2024-02-27 22:48:57,43
50,FN0049,29,22,2023-10-28 21:51:37,2023-10-29 00:51:37,4
51,FN0050,10,70,2024-02-16 18:21:07,2024-02-16 23:21:07,34
52,FN0051,36,47,2024-01-07 12:15:53,2024-01-07 16:15:53,40
53,FN0052,16,36,2023-12-14 09:11:59,2023-12-14 13:11:59,24
54,FN0053,61,37,2024-02-07 12:20:26,2024-02-07 20:20:26,47
55,FN0054,31,55,2023-08-30 19:51:17,2023-08-30 22:51:17,28
56,FN0055,68,36,2023-08-23 15:10:46,2023-08-23 17:10:46,40
57,FN0056,30,16,2023-08-19 10:24:07,2023-08-19 16:24:07,16
58,FN0057,64,37,2023-07-20 23:16:32,2023-07-21 01:16:32,18
59,FN0058,93,72,2024-03-14 07:30:21,2024-03-14 12:30:21,28
60,FN0059,27,40,2024-05-10 11:42:48,2024-05-10 16:42:48,38
61,FN0060,58,95,2024-02-17 05:40:02,2024-02-17 08:40:02,35
62,FN0061,93,55,2024-03-08 01:50:33,2024-03-08 04:50:33,44
63,FN0062,70,42,2023-08-01 01:17:52,2023-08-01 02:17:52,31
64,FN0063,98,99,2023-09-24 00:40:22,2023-09-24 08:40:22,17
65,FN0064,4,50,2023-12-19 09:02:36,2023-12-19 19:02:36,37
66,FN0065,63,99,2023-10-29 22:48:44,2023-10-30 00:48:44,40
67,FN0066,78,27,2024-01-30 22:08:31,2024-01-31 04:08:31,27
68,FN0067,51,91,2024-03-30 05:32:40,2024-03-30 10:32:40,34
69,FN0068,93,8,2024-04-05 17:40:34,2024-04-06 00:40:34,30
70,FN0069,37,74,2024-05-10 11:29:52,2024-05-10 17:29:52,38
71,FN0070,30,59,2023-12-09 17:02:07,2023-12-09 19:02:07,36
72,FN0071,80,73,2024-02-03 06:09:38,2024-02-03 12:09:38,9
73,FN0072,85,18,2023-12-15 06:24:31,2023-12-15 16:24:31,10
74,FN0073,35,26,2023-12-14 12:52:33,2023-12-14 17:52:33,22
75,FN0074,54,60,2024-05-11 01:00:44,2024-05-11 06:00:44,48
76,FN0075,23,8,2023-09-01 16:57:50,2023-09-01 23:57:50,19
77,FN0076,86,50,2024-03-20 05:29:42,2024-03-20 15:29:42,42
78,FN0077,31,76,2023-07-18 13:48:20,2023-07-18 19:48:20,10
79,FN0078,7,42,2024-04-20 04:23:49,2024-04-20 09:23:49,45
80,FN0079,17,65,2024-01-19 19:42:15,2024-01-20 02:42:15,41
81,FN0080,84,81,2024-04-03 23:43:55,2024-04-04 01:43:55,22
82,FN0081,45,4,2024-05-23 15:25:16,2024-05-23 23:25:16,14
83,FN0082,81,71,2023-12-02 03:22:58,2023-12-02 04:22:58,46
84,FN0083,32,45,2023-09-22 20:31:25,2023-09-22 21:31:25,40
85,FN0084,37,18,2023-11-07 02:48:20,2023-11-07 06:48:20,18
86,FN0085,10,46,2024-01-21 14:59:27,2024-01-21 23:59:27,39
87,FN0086,11,45,2023-09-23 03:41:30,2023-09-23 12:41:30,2
88,FN0087,9,27,2024-03-15 00:52:27,2024-03-15 09:52:27,50
89,FN0088,76,56,2024-06-01 00:01:37,2024-06-01 09:01:37,2
90,FN0089,24,66,2023-10-20 08:54:22,2023-10-20 15:54:22,47
91,FN0090,23,79,2023-11-16 17:22:28,2023-11-17 01:22:28,22
92,FN0091,90,63,2023-10-14 19:36:19,2023-10-15 03:36:19,30
93,FN0092,94,16,2024-04-11 00:00:21,2024-04-11 07:00:21,5
94,FN0093,70,87,2024-05-23 19:16:55,2024-05-23 20:16:55,48
95,FN0094,74,25,2023-11-04 23:56:37,2023-11-05 08:56:37,50
96,FN0095,45,21,2024-06-26 13:59:38,2024-06-26 18:59:38,38
97,FN0096,4,14,2024-05-04 02:56:18,2024-05-04 11:56:18,26
98,FN0097,89,50,2023-11-08 14:43:52,2023-11-08 21:43:52,26
99,FN0098,98,93,2023-11-17 15:52:48,2023-11-17 17:52:48,20
100,FN0099,5,91,2023-07-06 21:39:20,2023-07-07 04:39:20,11
101,FN0100,10,80,2023-12-12 22:16:31,2023-12-13 07:16:31,18
102,FN0101,99,45,2023-07-16 15:34:13,2023-07-16 22:34:13,47
103,FN0102,30,80,2023-11-06 17:57:22,2023-11-07 03:57:22,14
104,FN0103,58,92,2024-03-19 08:05:05,2024-03-19 17:05:05,11
105,FN0104,10,37,2024-05-26 11:32:48,2024-05-26 13:32:48,32
106,FN0105,77,59,2024-06-06 00:08:36,2024-06-06 06:08:36,38
107,FN0106,42,29,2023-07-13 18:56:14,2023-07-13 19:56:14,22
108,FN0107,5,74,2024-04-11 23:56:45,2024-04-12 01:56:45,37
109,FN0108,49,21,2023-10-18 01:25:26,2023-10-18 11:25:26,10
110,FN0109,66,53,2024-05-05 05:44:28,2024-05-05 11:44:28,37
111,FN0110,89,38,2023-12-26 18:02:49,2023-12-26 22:02:49,4
112,FN0111,93,97,2023-11-17 06:14:17,2023-11-17 13:14:17,48
113,FN0112,33,53,2023-08-11 15:42:32,2023-08-12 01:42:32,22
114,FN0113,94,83,2024-05-16 10:17:47,2024-05-16 13:17:47,8
115,FN0114,80,59,2024-06-20 06:15:37,2024-06-20 13:15:37,42
116,FN0115,17,77,2024-05-27 08:17:21,2024-05-27 09:17:21,29
117,FN0116,17,84,2024-01-29 23:01:29,2024-01-30 05:01:29,46
118,FN0117,69,22,2023-12-27 03:33:36,2023-12-27 11:33:36,35
119,FN0118,53,33,2024-01-05 00:20:03,2024-01-05 07:20:03,25
120,FN0119,23,9,2023-12-02 16:42:05,2023-12-02 21:42:05,15
121,FN0120,74,6,2024-02-04 23:14:16,2024-02-05 09:14:16,20
122,FN0121,40,38,2023-09-05 09:31:56,2023-09-05 18:31:56,10
123,FN0122,22,29,2024-05-28 22:52:49,2024-05-29 00:52:49,33
124,FN0123,98,45,2023-12-17 05:17:25,2023-12-17 07:17:25,44
125,FN0124,29,82,2023-08-06 04:18:36,2023-08-06 05:18:36,33
126,FN0125,22,94,2024-04-21 18:44:42,2024-04-21 21:44:42,15
127,FN0126,68,4,2024-02-04 17:41:07,2024-02-04 23:41:07,14
128,FN0127,54,16,2023-12-08 11:17:15,2023-12-08 20:17:15,44
129,FN0128,29,99,2023-11-10 09:12:33,2023-11-10 10:12:33,2
130,FN0129,36,71,2024-03-21 01:45:04,2024-03-21 09:45:04,15
131,FN0130,64,54,2023-09-19 09:25:11,2023-09-19 13:25:11,5
132,FN0131,86,33,2023-12-18 12:01:43,2023-12-18 15:01:43,21
133,FN0132,12,85,2023-11-23 08:17:32,2023-11-23 13:17:32,12
134,FN0133,80,59,2024-02-13 14:29:01,2024-02-13 19:29:01,9
135,FN0134,3,29,2024-02-22 17:56:46,2024-02-22 22:56:46,2
136,FN0135,21,98,2023-10-07 07:24:28,2023-10-07 13:24:28,26
137,FN0136,1,74,2023-08-03 10:27:32,2023-08-03 16:27:32,1
138,FN0137,48,54,2023-08-20 23:29:18,2023-08-21 04:29:18,20
139,FN0138,95,50,2024-03-16 04:36:33,2024-03-16 13:36:33,50
140,FN0139,75,73,2023-10-27 20:21:56,2023-10-27 22:21:56,20
141,FN0140,71,52,2024-06-13 12:27:16,2024-06-13 21:27:16,27
142,FN0141,2,75,2024-01-22 14:26:26,2024-01-22 23:26:26,38
143,FN0142,95,49,2023-09-18 12:55:58,2023-09-18 16:55:58,13
144,FN0143,21,88,2024-01-10 12:46:51,2024-01-10 15:46:51,50
145,FN0144,5,73,2023-08-31 11:11:08,2023-08-31 12:11:08,12
146,FN0145,47,29,2023-09-13 01:20:42,2023-09-13 02:20:42,13
147,FN0146,82,99,2023-09-19 14:43:43,2023-09-19 21:43:43,19
148,FN0147,47,65,2023-08-11 09:25:36,2023-08-11 10:25:36,30
149,FN0148,16,64,2023-09-11 01:03:14,2023-09-11 03:03:14,16
150,FN0149,5,46,2023-10-11 14:16:22,2023-10-11 21:16:22,7
151,FN0150,84,98,2023-08-04 18:26:07,2023-08-04 23:26:07,30
152,FN0151,99,54,2024-01-05 10:54:01,2024-01-05 20:54:01,36
153,FN0152,84,20,2024-02-26 00:05:52,2024-02-26 07:05:52,39
154,FN0153,53,51,2023-09-09 20:51:31,2023-09-10 00:51:31,11
155,FN0154,67,62,2023-10-30 17:50:12,2023-10-30 19:50:12,41
156,FN0155,46,42,2024-04-22 16:43:41,2024-04-22 19:43:41,14
157,FN0156,74,3,2024-02-03 09:46:10,2024-02-03 10:46:10,30
158,FN0157,1,26,2024-04-29 15:29:57,2024-04-29 21:29:57,46
159,FN0158,6,35,2023-11-12 23:58:43,2023-11-13 05:58:43,36
160,FN0159,56,9,2024-04-16 09:13:58,2024-04-16 17:13:58,22
161,FN0160,78,21,2023-12-26 20:38:15,2023-12-26 23:38:15,22
162,FN0161,25,2,2023-11-30 02:49:44,2023-11-30 11:49:44,42
163,FN0162,64,12,2023-10-20 18:14:34,2023-10-21 03:14:34,36
164,FN0163,55,45,2023-12-23 22:05:33,2023-12-24 08:05:33,12
165,FN0164,44,82,2024-05-01 19:31:36,2024-05-01 23:31:36,3
166,FN0165,74,17,2023-11-09 06:18:48,2023-11-09 10:18:48,16
167,FN0166,78,76,2024-04-14 21:47:16,2024-04-14 22:47:16,27
168,FN0167,62,79,2023-08-08 03:16:45,2023-08-08 09:16:45,15
169,FN0168,75,31,2024-06-06 12:11:01,2024-06-06 19:11:01,6
170,FN0169,44,18,2023-11-05 20:15:59,2023-11-06 05:15:59,41
171,FN0170,60,91,2024-06-12 11:43:12,2024-06-12 19:43:12,32
172,FN0171,42,48,2023-07-25 15:06:43,2023-07-25 17:06:43,7
173,FN0172,34,91,2023-07-31 10:48:50,2023-07-31 16:48:50,44
174,FN0173,23,91,2023-07-21 11:48:05,2023-07-21 13:48:05,3
175,FN0174,63,75,2023-08-29 15:43:58,2023-08-29 18:43:58,29
176,FN0175,67,22,2023-07-07 19:53:59,2023-07-08 03:53:59,7
177,FN0176,65,12,2023-08-10 03:14:41,2023-08-10 04:14:41,37
178,FN0177,6,64,2023-09-18 02:13:56,2023-09-18 10:13:56,39
179,FN0178,82,2,2023-09-01 18:42:13,2023-09-02 04:42:13,23
180,FN0179,82,86,2024-03-04 04:43:40,2024-03-04 11:43:40,39
181,FN0180,32,7,2023-07-30 15:04:37,2023-07-30 23:04:37,42
182,FN0181,98,10,2024-06-21 03:27:07,2024-06-21 06:27:07,19
183,FN0182,34,13,2024-02-16 02:37:33,2024-02-16 12:37:33,41
184,FN0183,2,99,2023-10-11 10:49:54,2023-10-11 18:49:54,13
185,FN0184,61,69,2024-03-14 14:00:05,2024-03-14 16:00:05,25
186,FN0185,71,82,2024-05-28 14:54:52,2024-05-28 23:54:52,47
187,FN0186,89,27,2023-09-27 22:48:46,2023-09-28 03:48:46,23
188,FN0187,66,52,2024-01-01 15:54:20,2024-01-01 17:54:20,16
189,FN0188,73,69,2023-08-20 21:38:42,2023-08-20 22:38:42,44
190,FN0189,32,52,2024-03-01 19:53:20,2024-03-02 01:53:20,18
191,FN0190,38,22,2023-11-20 09:21:51,2023-11-20 12:21:51,45
192,FN0191,73,14,2023-07-20 12:48:10,2023-07-20 14:48:10,22
193,FN0192,64,74,2023-08-06 15:14:56,2023-08-06 23:14:56,28
194,FN0193,90,49,2024-04-15 23:58:08,2024-04-16 04:58:08,27
195,FN0194,61,72,2023-07-02 14:08:42,2023-07-02 15:08:42,22
196,FN0195,1,6,2023-07-17 14:11:30,2023-07-17 23:11:30,8
197,FN0196,72,37,2023-12-14 21:24:57,2023-12-14 22:24:57,1
198,FN0197,79,34,2023-09-01 00:32:26,2023-09-01 10:32:26,20
199,FN0198,98,55,2023-12-16 23:34:30,2023-12-17 02:34:30,35
200,FN0199,5,55,2024-03-18 02:02:04,2024-03-18 09:02:04,33
201,FN0200,35,77,2024-03-21 09:23:28,2024-03-21 11:23:28,6
202,FN0201,95,51,2024-01-19 06:20:42,2024-01-19 10:20:42,20
203,FN0202,92,32,2023-08-07 06:09:05,2023-08-07 10:09:05,14
204,FN0203,73,4,2024-04-13 22:39:35,2024-04-14 03:39:35,15
205,FN0204,7,80,2023-10-18 21:36:51,2023-10-18 23:36:51,3
206,FN0205,18,54,2024-03-20 23:32:41,2024-03-21 08:32:41,22
207,FN0206,5,40,2023-12-08 01:08:48,2023-12-08 10:08:48,24
208,FN0207,72,31,2024-06-24 10:26:10,2024-06-24 17:26:10,24
209,FN0208,41,59,2024-01-26 06:24:38,2024-01-26 11:24:38,30
210,FN0209,30,4,2023-08-08 08:17:42,2023-08-08 12:17:42,30
211,FN0210,65,86,2024-05-22 23:17:38,2024-05-23 01:17:38,28
212,FN0211,90,26,2023-10-30 12:58:51,2023-10-30 17:58:51,32
213,FN0212,31,4,2024-03-14 19:07:01,2024-03-15 05:07:01,23
214,FN0213,23,9,2024-01-29 19:22:59,2024-01-30 02:22:59,11
215,FN0214,84,33,2024-05-13 08:17:00,2024-05-13 16:17:00,19
216,FN0215,19,61,2024-05-22 22:36:26,2024-05-23 08:36:26,46
217,FN0216,35,47,2024-05-17 21:33:21,2024-05-18 01:33:21,42
218,FN0217,13,28,2024-04-01 04:04:06,2024-04-01 11:04:06,44
219,FN0218,62,99,2023-08-07 06:05:16,2023-08-07 16:05:16,49
220,FN0219,89,15,2023-07-25 02:20:04,2023-07-25 08:20:04,30
221,FN0220,14,52,2024-03-02 23:39:18,2024-03-03 04:39:18,12
222,FN0221,36,91,2024-06-01 07:29:48,2024-06-01 13:29:48,36
223,FN0222,62,3,2023-07-06 18:07:57,2023-07-07 04:07:57,11
224,FN0223,99,24,2024-02-15 16:15:56,2024-02-15 23:15:56,18
225,FN0224,78,85,2023-11-12 19:19:15,2023-11-12 23:19:15,15
226,FN0225,84,12,2024-03-07 06:56:34,2024-03-07 11:56:34,28
227,FN0226,81,89,2024-04-28 03:48:13,2024-04-28 11:48:13,33
228,FN0227,26,67,2024-03-15 04:00:37,2024-03-15 08:00:37,11
229,FN0228,35,94,2023-09-03 08:40:42,2023-09-03 15:40:42,4
230,FN0229,16,42,2024-02-12 05:50:08,2024-02-12 09:50:08,5
231,FN0230,57,87,2024-06-08 04:19:32,2024-06-08 13:19:32,42
232,FN0231,55,80,2024-06-01 13:11:25,2024-06-01 16:11:25,22
233,FN0232,13,69,2024-03-24 17:30:57,2024-03-24 22:30:57,48
234,FN0233,98,30,2023-08-24 17:29:45,2023-08-24 21:29:45,28
235,FN0234,42,17,2024-03-01 20:46:57,2024-03-02 01:46:57,19
236,FN0235,57,19,2024-03-05 04:37:10,2024-03-05 14:37:10,1
237,FN0236,70,62,2023-08-12 02:30:30,2023-08-12 05:30:30,13
238,FN0237,32,80,2024-04-19 02:33:09,2024-04-19 07:33:09,2
239,FN0238,20,88,2024-06-14 01:50:27,2024-06-14 07:50:27,39
240,FN0239,74,93,2024-03-29 19:43:38,2024-03-30 03:43:38,36
241,FN0240,10,21,2023-10-14 18:35:41,2023-10-14 23:35:41,43
242,FN0241,67,89,2023-09-17 20:04:06,2023-09-17 22:04:06,21
243,FN0242,18,21,2024-04-21 20:52:03,2024-04-22 06:52:03,38
244,FN0243,18,68,2023-09-11 16:30:52,2023-09-11 17:30:52,35
245,FN0244,41,49,2024-02-20 08:53:18,2024-02-20 18:53:18,2
246,FN0245,11,81,2023-12-11 23:46:48,2023-12-12 08:46:48,2
247,FN0246,77,20,2024-06-17 21:41:21,2024-06-17 23:41:21,29
248,FN0247,22,36,2023-07-23 10:13:20,2023-07-23 20:13:20,22
249,FN0248,53,78,2024-02-17 04:25:31,2024-02-17 06:25:31,28
250,FN0249,66,58,2023-09-01 13:24:08,2023-09-01 20:24:08,15
251,FN0250,73,83,2023-07-08 21:25:56,2023-07-09 03:25:56,19
252,FN0251,6,7,2024-02-04 03:40:33,2024-02-04 07:40:33,5
253,FN0252,71,73,2023-11-23 12:43:40,2023-11-23 16:43:40,20
254,FN0253,26,31,2024-02-05 08:01:18,2024-02-05 12:01:18,34
255,FN0254,3,77,2023-08-11 23:10:27,2023-08-12 09:10:27,15
256,FN0255,50,3,2023-08-07 13:58:37,2023-08-07 16:58:37,8
257,FN0256,8,44,2023-07-11 00:36:27,2023-07-11 05:36:27,46
258,FN0257,78,38,2023-08-23 11:05:34,2023-08-23 15:05:34,35
259,FN0258,33,28,2024-04-24 11:13:47,2024-04-24 16:13:47,21
260,FN0259,47,64,2023-12-30 15:17:03,2023-12-30 20:17:03,41
261,FN0260,28,21,2024-02-03 00:37:53,2024-02-03 06:37:53,10
262,FN0261,23,28,2024-05-15 15:09:32,2024-05-15 16:09:32,27
263,FN0262,9,40,2023-08-07 12:30:25,2023-08-07 13:30:25,19
264,FN0263,99,28,2023-09-09 02:44:39,2023-09-09 10:44:39,47
265,FN0264,74,91,2023-08-30 16:53:27,2023-08-30 20:53:27,7
266,FN0265,98,47,2023-12-10 08:32:28,2023-12-10 17:32:28,44
267,FN0266,60,45,2023-10-28 05:22:34,2023-10-28 07:22:34,12
268,FN0267,5,83,2024-01-12 09:27:46,2024-01-12 19:27:46,29
269,FN0268,16,30,2024-04-18 20:56:46,2024-04-19 04:56:46,17
270,FN0269,56,51,2023-10-24 13:14:45,2023-10-24 20:14:45,46
271,FN0270,59,86,2024-03-28 08:54:58,2024-03-28 09:54:58,45
272,FN0271,28,13,2024-06-10 13:28:37,2024-06-10 20:28:37,9
273,FN0272,91,54,2024-06-26 02:01:38,2024-06-26 09:01:38,46
274,FN0273,90,14,2023-09-11 08:38:14,2023-09-11 15:38:14,30
275,FN0274,5,68,2023-12-03 01:32:27,2023-12-03 11:32:27,11
276,FN0275,65,48,2023-11-11 17:21:34,2023-11-12 02:21:34,48
277,FN0276,34,6,2024-06-23 23:36:40,2024-06-24 06:36:40,7
278,FN0277,42,39,2023-11-05 22:46:06,2023-11-06 07:46:06,12
279,FN0278,42,23,2024-06-01 01:11:24,2024-06-01 09:11:24,13
280,FN0279,69,72,2024-02-14 09:24:35,2024-02-14 13:24:35,28
281,FN0280,81,10,2024-05-28 13:58:53,2024-05-28 14:58:53,33
282,FN0281,15,41,2024-01-05 09:04:44,2024-01-05 10:04:44,29
283,FN0282,30,79,2024-06-12 23:38:12,2024-06-13 00:38:12,19
284,FN0283,85,73,2023-12-02 18:41:34,2023-12-03 03:41:34,36
285,FN0284,10,91,2023-06-29 06:58:44,2023-06-29 07:58:44,3
286,FN0285,76,18,2024-01-05 15:31:10,2024-01-05 19:31:10,47
287,FN0286,1,79,2023-07-08 20:32:00,2023-07-09 02:32:00,28
288,FN0287,20,48,2023-11-07 19:04:10,2023-11-07 23:04:10,18
289,FN0288,10,85,2024-01-02 12:50:18,2024-01-02 20:50:18,34
290,FN0289,20,85,2024-03-11 21:17:25,2024-03-12 03:17:25,18
291,FN0290,54,49,2024-01-01 17:51:20,2024-01-01 18:51:20,47
292,FN0291,81,49,2023-09-30 06:52:13,2023-09-30 14:52:13,47
293,FN0292,45,60,2023-11-22 22:55:17,2023-11-23 07:55:17,26
294,FN0293,55,63,2024-06-23 18:56:51,2024-06-24 04:56:51,39
295,FN0294,98,19,2024-01-23 07:06:46,2024-01-23 11:06:46,18
296,FN0295,80,37,2024-06-08 01:19:42,2024-06-08 03:19:42,9
297,FN0296,5,86,2024-05-19 03:18:53,2024-05-19 13:18:53,22
298,FN0297,79,96,2024-05-28 17:30:47,2024-05-29 00:30:47,23
299,FN0298,38,55,2024-01-15 21:04:49,2024-01-16 04:04:49,22
300,FN0299,96,7,2023-08-06 09:00:51,2023-08-06 19:00:51,2
301,FN0300,79,59,2023-10-10 17:54:51,2023-10-10 23:54:51,35
302,FN0301,95,1,2023-08-14 00:44:47,2023-08-14 03:44:47,11
303,FN0302,39,1,2024-05-19 04:31:51,2024-05-19 06:31:51,1
304,FN0303,99,92,2023-07-25 05:06:42,2023-07-25 13:06:42,40
305,FN0304,12,11,2023-12-13 01:48:13,2023-12-13 02:48:13,27
306,FN0305,29,98,2023-12-24 22:49:44,2023-12-25 00:49:44,22
307,FN0306,61,42,2023-08-16 12:37:59,2023-08-16 16:37:59,22
308,FN0307,92,80,2024-03-02 13:12:02,2024-03-02 21:12:02,15
309,FN0308,51,28,2024-06-01 14:09:51,2024-06-01 17:09:51,19
310,FN0309,2,78,2023-09-05 19:41:35,2023-09-06 01:41:35,45
311,FN0310,16,28,2024-04-02 22:33:11,2024-04-02 23:33:11,20
312,FN0311,29,49,2024-04-01 02:01:55,2024-04-01 10:01:55,19
313,FN0312,29,85,2023-11-28 02:04:59,2023-11-28 10:04:59,29
314,FN0313,74,99,2023-12-05 04:26:09,2023-12-05 07:26:09,31
315,FN0314,41,52,2023-11-21 09:16:21,2023-11-21 10:16:21,29
316,FN0315,17,67,2023-07-13 23:18:16,2023-07-14 04:18:16,45
317,FN0316,36,10,2023-09-16 03:24:05,2023-09-16 06:24:05,22
318,FN0317,3,83,2023-11-29 03:13:22,2023-11-29 07:13:22,41
319,FN0318,75,73,2023-07-28 17:40:11,2023-07-29 01:40:11,22
320,FN0319,6,30,2024-01-05 04:14:51,2024-01-05 11:14:51,43
321,FN0320,81,68,2024-06-17 19:43:32,2024-06-17 22:43:32,30
322,FN0321,50,23,2023-10-04 22:06:11,2023-10-05 02:06:11,31
323,FN0322,75,25,2023-11-15 08:36:32,2023-11-15 11:36:32,25
324,FN0323,84,99,2024-05-05 02:32:53,2024-05-05 09:32:53,41
325,FN0324,12,10,2024-04-22 12:36:15,2024-04-22 18:36:15,38
326,FN0325,76,66,2024-01-09 05:17:57,2024-01-09 12:17:57,43
327,FN0326,66,52,2023-11-07 23:24:31,2023-11-08 06:24:31,48
328,FN0327,99,82,2023-10-28 12:16:34,2023-10-28 17:16:34,43
329,FN0328,20,13,2024-04-26 18:41:30,2024-04-26 20:41:30,20
330,FN0329,50,73,2024-02-24 13:05:20,2024-02-24 18:05:20,10
331,FN0330,54,99,2023-12-04 18:43:22,2023-12-04 23:43:22,49
332,FN0331,60,58,2024-05-04 16:56:12,2024-05-05 00:56:12,12
333,FN0332,11,15,2023-11-27 12:40:06,2023-11-27 16:40:06,46
334,FN0333,79,35,2023-10-24 02:50:30,2023-10-24 04:50:30,35
335,FN0334,17,52,2024-04-20 15:56:37,2024-04-21 00:56:37,29
336,FN0335,97,48,2024-03-24 13:54:40,2024-03-24 15:54:40,5
337,FN0336,81,49,2023-12-04 14:56:44,2023-12-04 18:56:44,40
338,FN0337,99,62,2024-05-17 12:19:13,2024-05-17 19:19:13,18
339,FN0338,21,59,2023-12-20 22:19:59,2023-12-21 01:19:59,1
340,FN0339,68,65,2023-08-15 04:58:34,2023-08-15 05:58:34,20
341,FN0340,76,30,2024-01-19 09:35:18,2024-01-19 11:35:18,39
342,FN0341,23,40,2024-04-09 11:14:46,2024-04-09 20:14:46,28
343,FN0342,54,15,2023-12-25 07:03:00,2023-12-25 09:03:00,12
344,FN0343,80,25,2024-05-07 21:35:02,2024-05-08 07:35:02,50
345,FN0344,76,57,2023-07-18 04:20:26,2023-07-18 08:20:26,36
346,FN0345,7,83,2023-11-10 04:29:22,2023-11-10 11:29:22,46
347,FN0346,31,24,2023-11-22 06:17:01,2023-11-22 08:17:01,46
348,FN0347,11,76,2024-06-18 20:25:14,2024-06-19 03:25:14,46
349,FN0348,63,83,2024-02-21 22:58:36,2024-02-22 05:58:36,44
350,FN0349,83,40,2024-06-19 16:23:00,2024-06-19 18:23:00,13
351,FN0350,91,74,2023-07-16 11:44:42,2023-07-16 12:44:42,23
352,FN0351,86,17,2024-02-19 06:24:33,2024-02-19 07:24:33,8
353,FN0352,5,79,2023-09-27 09:34:53,2023-09-27 17:34:53,31
354,FN0353,86,29,2023-08-22 05:33:35,2023-08-22 15:33:35,13
355,FN0354,2,37,2023-07-12 12:46:59,2023-07-12 22:46:59,7
356,FN0355,42,77,2023-10-16 16:33:55,2023-10-16 21:33:55,44
